Biomass species,Moisture content (%),Ash content(%),(volatile matter)%,Fixed carbon content(%),Carbon (%),Hydrogen (%),Oxygen (%),Nitrogen(%),particle size (mm),Final temperature (°C),Heating rate (°C/min),Flow rate (ml/min),Solid phase (%),Liquid phase (%),Gas phase (%)
Jerusalem artichoke stick,15.76,3.34,67.4,13.5,45.36,6.11,47.26,0.75,0.5,550,10,100,35,44.9,20.1
Jerusalem artichoke stick,15.76,3.34,67.4,13.5,45.36,6.11,47.26,0.75,0.5,650,10,100,31.75,41.25,27
Jerusalem artichoke stick,15.76,3.34,67.4,13.5,45.36,6.11,47.26,0.75,0.5,750,10,100,30.2,40.6,29.2
Jerusalem artichoke stick,15.76,3.34,67.4,13.5,45.36,6.11,47.26,0.75,0.5,850,10,100,28.6,36.36,35.04
reed,5.89,8.47,72.12,13.52,42.78,5.17,50.51,1.33,0.5,550,10,100,32.85,54.38,12.77
reed,5.89,8.47,72.12,13.52,42.78,5.17,50.51,1.33,0.5,650,10,100,30.14,55.56,14.3
reed,5.89,8.47,72.12,13.52,42.78,5.17,50.51,1.33,0.5,750,10,100,28.4,54.75,16.85
reed,5.89,8.47,72.12,13.52,42.78,5.17,50.51,1.33,0.5,850,10,100,26.28,53.22,20.5
sugar cane,5.4,3.1,80.2,11.3,44.86,5.87,48.97,0.24,0.55,350,10,100,50.07,29.04,20.89
sugar cane,5.4,3.1,80.2,11.3,44.86,5.87,48.97,0.24,0.55,400,10,100,45.09,33.07,21.27
sugar cane,5.4,3.1,80.2,11.3,44.86,5.87,48.97,0.24,0.55,450,10,100,37.31,38.16,24.22
sugar cane,5.4,3.1,80.2,11.3,44.86,5.87,48.97,0.24,0.55,500,10,100,31.46,41.97,26.52
sugar cane,5.4,3.1,80.2,11.3,44.86,5.87,48.97,0.24,0.55,550,10,100,31.4,40.2,28.4
sugar cane,5.4,3.1,80.2,11.3,44.86,5.87,48.97,0.24,0.55,600,10,100,30.06,39.5,35.64
sugar cane,5.4,3.1,80.2,11.3,44.86,5.87,48.97,0.24,0.55,650,10,100,23.36,38.81,37.09
sugar cane,5.4,3.1,80.2,11.3,44.86,5.87,48.97,0.24,0.55,350,50,100,47.16,30.83,20.91
sugar cane,5.4,3.1,80.2,11.3,44.86,5.87,48.97,0.24,0.55,400,50,100,42.16,35.76,22.12
sugar cane,5.4,3.1,80.2,11.3,44.86,5.87,48.97,0.24,0.55,450,50,100,34.48,41.3,23.11
sugar cane,5.4,3.1,80.2,11.3,44.86,5.87,48.97,0.24,0.55,500,50,100,28.24,45.19,25.97
sugar cane,5.4,3.1,80.2,11.3,44.86,5.87,48.97,0.24,0.55,550,50,100,25.11,44.32,29.45
sugar cane,5.4,3.1,80.2,11.3,44.86,5.87,48.97,0.24,0.55,600,50,100,24.87,41.81,32.3
sugar cane,5.4,3.1,80.2,11.3,44.86,5.87,48.97,0.24,0.55,650,50,100,24.21,39.5,34.13
sugar cane,5.4,3.1,80.2,11.3,44.86,5.87,48.97,0.24,0.25,500,50,100,37.4,26.94,34.17
sugar cane,5.4,3.1,80.2,11.3,44.86,5.87,48.97,0.24,0.38,500,50,100,39.54,27.94,30.99
sugar cane,5.4,3.1,80.2,11.3,44.86,5.87,48.97,0.24,0.55,500,50,100,45.49,29.14,25.71
sugar cane,5.4,3.1,80.2,11.3,44.86,5.87,48.97,0.24,0.8,500,50,100,43.82,36.41,20.44
sugar cane,5.4,3.1,80.2,11.3,44.86,5.87,48.97,0.24,1.35,500,50,100,41.59,37.79,20.49
sugar cane,5.4,3.1,80.2,11.3,44.86,5.87,48.97,0.24,0.55,500,50,50,39.53,33.78,26.4
sugar cane,5.4,3.1,80.2,11.3,44.86,5.87,48.97,0.24,0.55,500,50,100,45.18,27.93,27.17
sugar cane,5.4,3.1,80.2,11.3,44.86,5.87,48.97,0.24,0.55,500,50,150,42.7,27.2,29.7
sugar cane,5.4,3.1,80.2,11.3,44.86,5.87,48.97,0.24,0.55,500,50,200,41.85,26.72,31.22
Mangosteen plants,7.3,3.6,73.2,15.9,47.6,5.5,46.1,0.8,0.8,300,10,1500,49.5,30.7,19.75
Mangosteen plants,7.3,3.6,73.2,15.9,47.6,5.5,46.1,0.8,0.8,400,10,1500,30.95,48.3,20.74
Mangosteen plants,7.3,3.6,73.2,15.9,47.6,5.5,46.1,0.8,0.8,450,10,1500,29.42,49.01,21.5
Mangosteen plants,7.3,3.6,73.2,15.9,47.6,5.5,46.1,0.8,0.8,500,10,1500,27.15,50.03,22.82
Mangosteen plants,7.3,3.6,73.2,15.9,47.6,5.5,46.1,0.8,0.8,550,10,1500,26.21,50.57,23.23
Mangosteen plants,7.3,3.6,73.2,15.9,47.6,5.5,46.1,0.8,0.8,600,10,1500,25.92,49.7,24.3
Mangosteen plants,7.3,3.6,73.2,15.9,47.6,5.5,46.1,0.8,0.8,700,10,1500,25.1,48.24,26.66
Peanut shells ,8.03,11.31,58.38,22.29,37.87,5.19,55.24,1.57,1.25,300,15,50,47.76,14.38,36.43
Peanut shells,8.03,11.31,58.38,22.29,37.87,5.19,55.24,1.57,1.25,400,15,50,41.42,15.83,40.79
Peanut shells,8.03,11.31,58.38,22.29,37.87,5.19,55.24,1.57,1.25,500,15,50,37.06,17.75,41.17
Peanut shells,8.03,11.31,58.38,22.29,37.87,5.19,55.24,1.57,1.25,600,15,50,35.43,15.12,46.12
Peanut shells,8.03,11.31,58.38,22.29,37.87,5.19,55.24,1.57,1.25,700,15,50,33.73,13.03,52.4
Peanut shells,8.03,11.31,58.38,22.29,37.87,5.19,55.24,1.57,1.25,800,15,50,32.35,10.29,55.6
Peanut shells,8.03,11.31,58.38,22.29,37.87,5.19,55.24,1.57,1.25,900,15,50,33.78,8.88,53.54
Pine needles,8.81,12.24,60.09,18.86,46.28,5.8,47.03,0.72,1.25,300,15,50,52.2,14.48,30.19
Pine needles,8.81,12.24,60.09,18.86,46.28,5.8,47.03,0.72,1.25,400,15,50,45.01,18.12,35.96
Pine needles,8.81,12.24,60.09,18.86,46.28,5.8,47.03,0.72,1.25,500,15,50,36.51,20.76,41.36
Pine needles,8.81,12.24,60.09,18.86,46.28,5.8,47.03,0.72,1.25,600,15,50,35.25,18.84,41.92
Pine needles,8.81,12.24,60.09,18.86,46.28,5.8,47.03,0.72,1.25,700,15,50,32.79,12.72,52.07
Pine needles,8.81,12.24,60.09,18.86,46.28,5.8,47.03,0.72,1.25,800,15,50,33.89,15.78,47.61
Pine needles,8.81,12.24,60.09,18.86,46.28,5.8,47.03,0.72,1.25,900,15,50,30.54,13.28,51.32
 C. vulgaris,6.26,6.11,76.13,11.5,47.32,6.9,36.45,8.48,1.25,300,15,50,43.05,20.64,35.92
 C. vulgaris,6.26,6.11,76.13,11.5,47.32,6.9,36.45,8.48,1.25,400,15,50,43.46,16.38,37.7
 C. vulgaris,6.26,6.11,76.13,11.5,47.32,6.9,36.45,8.48,1.25,500,15,50,29.28,32.69,34.25
 C. vulgaris,6.26,6.11,76.13,11.5,47.32,6.9,36.45,8.48,1.25,600,15,50,22.33,28.5,43.71
 C. vulgaris,6.26,6.11,76.13,11.5,47.32,6.9,36.45,8.48,1.25,700,15,50,23.73,27.25,46.8
 C. vulgaris,6.26,6.11,76.13,11.5,47.32,6.9,36.45,8.48,1.25,800,15,50,21.58,26.55,50.83
 C. vulgaris,6.26,6.11,76.13,11.5,47.32,6.9,36.45,8.48,1.25,900,15,50,19.3,21.04,58.29
Corncob,6.33,29.51,51.64,12.53,22.49,3.3,73.68,0.51,1.25,300,15,50,63.51,10.31,23.26
Corncob,6.33,29.51,51.64,12.53,22.49,3.3,73.68,0.51,11.25,400,15,50,54.42,11.43,31.02
Corncob,6.33,29.51,51.64,12.53,22.49,3.3,73.68,0.51,1.25,500,15,50,54.29,11.38,30.42
Corncob,6.33,29.51,51.64,12.53,22.49,3.3,73.68,0.51,1.25,600,15,50,50.93,10.68,35.92
Corncob,6.33,29.51,51.64,12.53,22.49,3.3,73.68,0.51,1.25,700,15,50,52.24,8.72,36.49
Corncob,6.33,29.51,51.64,12.53,22.49,3.3,73.68,0.51,1.25,800,15,50,48.27,8.28,41.43
Corncob,6.33,29.51,51.64,12.53,22.49,3.3,73.68,0.51,1.25,900,15,50,50.78,6.18,41.18
Garlic stalk,5.81,8.8,5.82,2.21,42.29,6.03,47.84,3.84,2,400,30,50,30.25,37.85,31.35
